     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -22.01378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.90178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.78978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.67778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.56578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.45378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.34078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.22878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.11678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.00478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.89278     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.44378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.33178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.21978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.10678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99478     0.00034     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00034
   -19.88278     0.00161     0.00002     0.00001     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00167
   -19.77078     0.00382     0.00007     0.00003     0.00015     0.00000     0.00000     0.00000     0.00000     0.00001     0.00407
   -19.65878     0.00659     0.00017     0.00007     0.00038     0.00000     0.00000     0.00001     0.00000     0.00002     0.00724
   -19.54678     0.00979     0.00034     0.00015     0.00076     0.00000     0.00000     0.00003     0.00000     0.00005     0.01113
   -19.43378     0.01333     0.00061     0.00027     0.00134     0.00000     0.00000     0.00007     0.00000     0.00012     0.01574
   -19.32178     0.01710     0.00100     0.00046     0.00213     0.00000     0.00000     0.00014     0.00000     0.00024     0.02106
   -19.20978     0.02103     0.00153     0.00079     0.00312     0.00000     0.00000     0.00026     0.00000     0.00044     0.02719
   -19.09778     0.02512     0.00227     0.00137     0.00429     0.00001     0.00000     0.00050     0.00000     0.00077     0.03433
   -18.98578     0.02926     0.00329     0.00231     0.00568     0.00001     0.00001     0.00093     0.00001     0.00128     0.04277
   -18.87378     0.03339     0.00471     0.00374     0.00732     0.00001     0.00001     0.00173     0.00001     0.00206     0.05298
   -18.76078     0.03741     0.00678     0.00592     0.00934     0.00002     0.00001     0.00328     0.00001     0.00331     0.06608
   -18.64878     0.04117     0.01035     0.00959     0.01228     0.00002     0.00002     0.00665     0.00001     0.00554     0.08563
   -18.53678     0.04454     0.01611     0.01504     0.01691     0.00002     0.00003     0.01745     0.00002     0.01105     0.12116
   -18.42478     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -18.31278     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -18.19978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -18.08778     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.97578     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.86378     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.75178     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.63978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.52678     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.41478     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.30278     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.19078     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -17.07878     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.96678     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.85378     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.74178     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.62978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.51778     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.40578     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.29378     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.18078     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -16.06878     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.95678     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.84478     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.73278     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.61978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.50778     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.39578     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.28378     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.17178     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -15.05978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.94678     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.83478     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.72278     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.61078     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.49878     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.38678     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.27378     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.16178     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -14.04978     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
   -13.93778     0.04612     0.01953     0.01816     0.01972     0.00003     0.00003     0.02592     0.00002     0.01510     0.14462
